Date,buySize,buyPrice,sellSize,sellPrice
01-03-2022,0.026484019,37758.62,0.02647897,37765.82
01-03-2022,0.026483051,37760,0.026478963,37765.83
01-03-2022,0.026478177,37766.95,0.026475997,37770.06
01-03-2022,0.026475997,37770.06,0.026478177,37766.95
01-03-2022,0.026480498,37763.64,0.026480505,37763.63
01-03-2022,0.026484082,37758.53,0.026483773,37758.97
01-03-2022,0.026485429,37756.61,0.02648378,37758.96
01-03-2022,0.026483773,37758.97,0.026481445,37762.29
01-03-2022,0.026481108,37762.77,0.026478949,37765.85
01-03-2022,0.026478956,37765.84,0.026478949,37765.85
01-03-2022,0.026483268,37759.69,0.026480484,37763.66
01-03-2022,0.026477946,37767.28,0.026477939,37767.29
01-03-2022,0.026477939,37767.29,0.026475478,37770.8
01-03-2022,0.026475478,37770.8,0.026475478,37770.8
01-03-2022,0.026482546,37760.72,0.026482069,37761.4
01-03-2022,0.026480056,37764.27,0.026476018,37770.03
01-03-2022,0.026476214,37769.75,0.026476249,37769.7
01-03-2022,0.026476621,37769.17,0.026476614,37769.18
01-03-2022,0.026478353,37766.7,0.026478346,37766.71
01-03-2022,0.026481802,37761.78,0.02647925,37765.42
01-03-2022,0.02647925,37765.42,0.026479257,37765.41
01-03-2022,0.026479257,37765.41,0.02647925,37765.42
01-03-2022,0.026477897,37767.35,0.026477897,37767.35
01-03-2022,0.026480547,37763.57,0.026480547,37763.57
01-03-2022,0.026477904,37767.34,0.026477897,37767.35
01-03-2022,0.026477897,37767.35,0.026479566,37764.97
01-03-2022,0.026479559,37764.98,0.026479566,37764.97
01-03-2022,0.026477035,37768.58,0.026474539,37772.14
01-03-2022,0.026474357,37772.4,0.02647435,37772.41
01-03-2022,0.02647435,37772.41,0.026471596,37776.34
01-03-2022,0.026471596,37776.34,0.02647154,37776.42
01-03-2022,0.02647154,37776.42,0.02647154,37776.42
01-03-2022,0.026471547,37776.41,0.02647154,37776.42
